Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.02149E-4,57.509119857,0.705762134,0.223587866,0.567059573,0
2.02784E-4,57.751995959,0.706890406,0.222018828,0.569608155,0
2.03502E-4,58.016235066,0.708160968,0.220319038,0.573112456,0
2.04153E-4,58.260881313,0.709308747,0.21875,0.575661039,0
2.04683E-4,58.506169788,0.710238879,0.217180962,0.578209621,0
2.05168E-4,58.752118948,0.711089185,0.215611925,0.581395349,0
2.05559E-4,59.019100895,0.711771383,0.213912134,0.584262504,0
2.06086E-4,59.266106024,0.712688924,0.212343096,0.587766805,0
2.06665E-4,59.513733144,0.713694688,0.210774059,0.590952533,0
2.07232E-4,59.762175101,0.714674331,0.209205021,0.593819688,0
2.07583E-4,60.011089864,0.715280944,0.207635983,0.597005416,0
2.0788E-4,60.260370308,0.715791166,0.206066946,0.599553998,0
2.08451E-4,60.510175817,0.716772064,0.204497908,0.601465435,0
2.08865E-4,60.760561389,0.717480778,0.20292887,0.604014017,0
2.09349E-4,61.011551321,0.718307707,0.201359833,0.607199745,0
2.09723E-4,61.26300248,0.718944279,0.199790795,0.609429755,0
2.103E-4,61.515072113,0.719924009,0.198221757,0.61229691,0
2.10683E-4,61.767679859,0.720572362,0.19665272,0.615482638,0
2.11071E-4,62.02077814,0.721227991,0.195083682,0.618668366,0
2.11604E-4,62.25326027,0.722126065,0.193645397,0.621854094,0
2.12325E-4,62.507553395,0.723335008,0.19207636,0.624721249,0
2.12968E-4,62.762817483,0.724410115,0.190507322,0.626632686,0
2.13779E-4,63.01888568,0.725758916,0.188938285,0.628862695,0
2.14507E-4,63.254490625,0.726964169,0.1875,0.632048423,0
2.15021E-4,63.512123294,0.727811973,0.185930962,0.635552724,0
2.15611E-4,63.770508838,0.728783027,0.184361925,0.637145588,0
2.16152E-4,64.007935776,0.729669488,0.18292364,0.63969417,0
2.16669E-4,64.267729133,0.730513759,0.181354603,0.642242752,0
2.17154E-4,64.50640094,0.731302547,0.179916318,0.644472762,0
2.17918E-4,64.767426232,0.73254313,0.17834728,0.647021344,0
2.18542E-4,65.007531125,0.73355134,0.176908996,0.6498885,0
2.19124E-4,65.27008818,0.734487734,0.175339958,0.652437082,0
2.19346E-4,65.511268342,0.734844926,0.173901674,0.655304237,0
2.19738E-4,65.752812468,0.735472328,0.172463389,0.657215674,0
2.20221E-4,66.016859647,0.736244752,0.170894351,0.660082829,0
2.20891E-4,66.259594278,0.737311402,0.169456067,0.662312838,0
2.21124E-4,66.502720671,0.737681998,0.168017782,0.664542848,0
2.21772E-4,66.768504892,0.738708115,0.166448745,0.668047149,0
2.22467E-4,67.012968288,0.739805451,0.16501046,0.670277158,0
2.22647E-4,67.257786099,0.740089041,0.163572176,0.673144313,0
2.23146E-4,67.502900178,0.740872429,0.162133891,0.675692896,0
2.23611E-4,67.77096827,0.74159985,0.160564854,0.679515769,0
2.24252E-4,68.017348562,0.742601362,0.159126569,0.682382924,0
2.24896E-4,68.264358937,0.743602965,0.157688285,0.684931507,0
2.25744E-4,68.512404799,0.744914151,0.15625,0.687480089,0
2.26326E-4,68.761092649,0.745812208,0.154811715,0.689710099,0
2.26602E-4,69.010218254,0.74623622,0.153373431,0.692895827,0
2.27205E-4,69.259760083,0.747159386,0.151935146,0.695444409,0
2.27838E-4,69.510031122,0.748127154,0.150496862,0.698311564,0
2.28365E-4,69.761039657,0.748928773,0.149058577,0.701497292,0
2.29421E-4,70.012938083,0.750528974,0.147620293,0.704364447,0
2.29937E-4,70.265611436,0.751305886,0.146182008,0.707231602,0
2.3035E-4,70.518755503,0.751927215,0.144743724,0.709780185,0
2.30911E-4,70.772485731,0.752767302,0.143305439,0.712328767,0
2.31502E-4,71.003873423,0.753650272,0.141997908,0.715195922,0
2.32084E-4,71.258894253,0.754517136,0.140559623,0.718063077,0
2.3267E-4,71.514564274,0.755385813,0.139121339,0.721248805,0
2.33232E-4,71.770858145,0.756215548,0.137683054,0.724434533,0
2.33568E-4,72.004259479,0.756711842,0.136375523,0.726983116,0
2.3407E-4,72.261418768,0.757449662,0.134937238,0.729213125,0
2.34647E-4,72.519235749,0.758294107,0.133498954,0.73208028,0
2.34864E-4,72.754008485,0.758611413,0.132191423,0.734947435,0
2.35393E-4,73.012680071,0.759383426,0.130753138,0.737496018,0
2.35913E-4,73.271914104,0.760139655,0.129314854,0.740363173,0
2.36244E-4,73.508003275,0.760619711,0.128007322,0.742911755,0
2.36631E-4,73.768082592,0.761180032,0.126569038,0.745460338,0
2.3736E-4,74.005116045,0.762230138,0.125261506,0.748646066,0
2.3791E-4,74.266477575,0.763020341,0.123823222,0.751513221,0
